Fecha,Infectados Totales,Infectados Importados,Infectados con Contactos Estrechos,Muertos Totales
05-03-20,1,1,0,0
06-03-20,2,2,0,0
07-03-20,7,7,0,0
08-03-20,12,12,0,0
09-03-20,17,17,0,1
10-03-20,19,19,0,1
11-03-20,21,21,0,1
12-03-20,31,28,0,1
13-03-20,34,30,1,2
14-03-20,45,40,2,2
15-03-20,56,48,5,2
16-03-20,65,56,6,2
17-03-20,79,68,8,2
18-03-20,97,81,13,2
19-03-20,128,101,18,3
20-03-20,158,123,22,3
21-03-20,225,168,34,4
22-03-20,266,185,45,4
23-03-20,301,202,50,4
24-03-20,387,243,70,6
25-03-20,502,246,88,8
26-03-20,589,283,112,12
27-03-20,690,386,167,17
28-03-20,745,408,185,19
29-03-20,820,442,207,20
30-03-20,966,485,251,24
31-03-20,1054,529,295,27
01-04-20,1133,580,349,32
02-04-20,1265,622,398,36
03-04-20,1353,656,557,42
