Fecha,Infectados Totales,Muertes Totales,Recuperados Totales
02/03/20,1,0,0
03/03/20,3,0,0
04/03/20,4,0,0
05/03/20,5,0,0
06/03/20,7,0,0
07/03/20,10,0,0
08/03/20,13,0,0
09/03/20,17,0,0
10/03/20,23,0,0
11/03/20,34,0,0
12/03/20,43,0,0
13/03/20,61,0,0
14/03/20,75,0,0
15/03/20,156,0,0
16/03/20,201,0,1
17/03/20,238,0,3
18/03/20,342,0,5
19/03/20,434,0,6
20/03/20,537,1,8
21/03/20,632,1,8
22/03/20,746,2,11
23/03/20,922,2,17
24/03/20,1142,3,22
25/03/20,1306,4,33
26/03/20,1610,5,43
27/03/20,1909,6,61
28/03/20,2139,7,75
29/03/20,2449,8,156
30/03/20,2738,12,156
31/03/20,3031,16,234
01/04/20,3404,18,335
02/04/20,3737,22,427
03/04/20,4161,27,528
04/04/20,4471,34,528
05/04/20,4815,37,728
06/04/20,5116,43,898
