Fecha,Infectados Totales,Muertos Totales,Recuperados Totales
07-03-20,1,0,0
08-03-20,1,0,0
09-03-20,1,0,0
10-03-20,5,0,0
11-03-20,5,0,0
12-03-20,6,0,0
13-03-20,7,0,0
14-03-20,7,0,0
15-03-20,8,0,0
16-03-20,9,0,0
17-03-20,11,0,0
18-03-20,11,0,0
19-03-20,13,0,0
20-03-20,18,1,0
21-03-20,22,1,0
22-03-20,22,1,0
23-03-20,27,2,0
24-03-20,37,3,0
25-03-20,41,3,0
26-03-20,52,3,1
27-03-20,56,3,1
28-03-20,59,3,1
29-03-20,64,3,1
30-03-20,65,3,1
31-03-20,69,3,1
01-04-20,77,3,3
02-04-20,92,3,6
03-04-20,96,3,12
