Fecha,Infectados Argentina,Muertes Argentina,Infectados Paraguay,Muertes Paraguay,Infectados Brasil,Muertes Brasil,Infectados Chile,Muertes Chile
26/02/20,0,0,0,0,1,0,0,0
27/02/20,0,0,0,0,1,0,0,0
28/02/20,0,0,0,0,1,0,0,0
29/02/20,0,0,0,0,2,0,0,0
01/03/20,0,0,0,0,2,0,0,0
02/03/20,0,0,0,0,2,0,1,0
03/03/20,0,0,0,0,2,0,3,0
04/03/20,0,0,0,0,3,0,4,0
05/03/20,1,0,0,0,7,0,5,0
06/03/20,2,0,0,0,13,0,7,0
07/03/20,7,0,1,0,19,0,10,0
08/03/20,12,0,1,0,25,0,13,0
09/03/20,17,1,1,0,25,0,17,0
10/03/20,19,1,5,0,34,0,23,0
11/03/20,21,1,5,0,52,0,34,0
12/03/20,31,1,6,0,77,0,43,0
13/03/20,34,2,7,0,98,0,61,0
14/03/20,45,2,7,0,121,0,75,0
15/03/20,56,2,8,0,200,0,156,0
16/03/20,65,2,9,0,234,0,201,0
17/03/20,79,2,11,0,291,1,238,0
18/03/20,97,2,11,0,428,4,342,0
19/03/20,128,3,13,0,621,6,434,0
20/03/20,158,3,18,1,904,11,537,1
21/03/20,225,4,22,1,1128,18,632,1
22/03/20,266,4,22,1,1546,25,746,2
23/03/20,301,4,27,2,1891,34,922,2
24/03/20,387,6,37,3,2201,46,1142,3
25/03/20,502,8,41,3,2433,57,1306,4
26/03/20,589,12,52,3,2915,77,1610,5
27/03/20,690,17,56,3,3417,92,1909,6
28/03/20,745,19,59,3,3904,114,2139,7
29/03/20,820,20,64,3,4256,136,2449,8
30/03/20,966,24,65,3,4579,159,2738,12
31/03/20,1054,27,69,3,5717,201,3031,16
01/04/20,1133,32,77,3,6836,241,3404,18
02/04/20,1265,36,92,3,7910,299,3737,22
03/04/20,1353,42,96,3,9056,359,4161,27
04/04/20,1451,43,104,3,10278,432,4471,34
05/04/20,1554,46,113,5,11130,486,4815,37
06/04/20,1628,53,115,5,12056,553,5116,43
